Brand,Model,capacity_Ton,power_consumption_kW,Refrigerant type,cooling capacity,voltage,current,star rating,inverter/noninverter
Mitsubishi Electric,MSY-JS18VF,1.5,1.45,R32,5.0 kW,230 V,6.5 A,4 Star,Inverter
Mitsubishi Electric,MSY-AP15VG,1.2,1.1,R32,4.2 kW,230 V,5.2 A,5 Star,Inverter
Mitsubishi Electric,MSY-AP20VG,1.6,1.45,R32,5.8 kW,230 V,6.5 A,4 Star,Inverter
Mitsubishi Electric,MSY-AP25VG,2,1.9,R32,7.1 kW,230 V,8.3 A,4 Star,Inverter
Mitsubishi Electric,MSZ-HJ35VA,1.2,1.2,R410A,3.5 kW,230 V,5.5 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-HJ50VA,1.8,1.65,R410A,5.0 kW,230 V,7.2 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-DM25VA,1,0.95,R410A,2.5 kW,230 V,4.5 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-DM35VA,1.2,1.2,R410A,3.5 kW,230 V,5.4 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-GL60VG,2,2,R32,6.0 kW,230 V,8.7 A,5 Star,Inverter
Mitsubishi Heavy,SRK10YXS-W6,0.9,0.8,R32,2.8 kW,230 V,3.8 A,5 Star,Inverter
Mitsubishi Heavy,SRK13YXS-W6,1.1,0.95,R32,3.2 kW,230 V,4.5 A,5 Star,Inverter
Mitsubishi Heavy,SRK25YXS-W6,2,1.85,R32,7.1 kW,230 V,8.2 A,4 Star,Inverter
Mitsubishi Heavy,SRK35ZSP-W,1.2,1.1,R410A,3.5 kW,230 V,5.1 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK50ZSP-W,1.8,1.65,R410A,5.0 kW,230 V,7.3 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK60ZSP-W,2,2.1,R410A,6.0 kW,230 V,9.0 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK71HE-S1,2.2,2.3,R410A,7.1 kW,230 V,9.5 A,3 Star,Non-Inverter
Mitsubishi Electric,MSY-KA18VF,1.5,1.5,R32,5.2 kW,230 V,6.8 A,4 Star,Inverter
Mitsubishi Electric,MSY-KA24VF,2,2,R32,6.8 kW,230 V,8.5 A,4 Star,Inverter
Mitsubishi Electric,MS-GK18VA,1.5,1.45,R410A,5.0 kW,230 V,6.5 A,3 Star,Non-Inverter
Mitsubishi Electric,MS-GK13VA,1,1.1,R410A,3.5 kW,230 V,5.0 A,3 Star,Non-Inverter
Mitsubishi Electric,MSY-LN25VG,2,1.95,R32,6.5 kW,230 V,8.5 A,5 Star,Inverter
Mitsubishi Electric,MSY-LN35VG,2.5,2.3,R32,7.5 kW,230 V,10.0 A,5 Star,Inverter
Mitsubishi Electric,MSZ-AP35VG,1.5,1.35,R32,5.0 kW,230 V,6.0 A,5 Star,Inverter
Mitsubishi Electric,MSZ-AP50VG,2,1.85,R32,6.0 kW,230 V,8.2 A,5 Star,Inverter
Mitsubishi Electric,MSZ-AP60VG,2.2,2.1,R32,7.0 kW,230 V,9.0 A,5 Star,Inverter
Mitsubishi Electric,MSZ-EF25VG,1,1,R32,3.2 kW,230 V,4.8 A,5 Star,Inverter
Mitsubishi Electric,MSZ-EF35VG,1.5,1.4,R32,4.0 kW,230 V,6.2 A,5 Star,Inverter
Mitsubishi Heavy,SRK25ZMXA-S,2,1.9,R32,7.1 kW,230 V,8.4 A,4 Star,Inverter
Mitsubishi Heavy,SRK35ZMXA-S,1.5,1.45,R32,5.0 kW,230 V,6.5 A,4 Star,Inverter
Mitsubishi Heavy,SRK50ZMXA-S,2,2,R32,6.0 kW,230 V,8.8 A,4 Star,Inverter
Mitsubishi Heavy,SRK60ZMXA-S,2.2,2.2,R32,6.8 kW,230 V,9.3 A,4 Star,Inverter
Mitsubishi Heavy,SRK71ZMXA-S,2.5,2.5,R32,7.5 kW,230 V,10.5 A,4 Star,Inverter
Mitsubishi Heavy,SRK100ZR-W,3,3.2,R410A,9.5 kW,230 V,13.5 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK125ZR-W,3.5,3.8,R410A,11.5 kW,230 V,16.0 A,3 Star,Non-Inverter
Mitsubishi Electric,PLA-RP71BA,2,2.3,R410A,7.1 kW,230 V,9.5 A,3 Star,Non-Inverter
Mitsubishi Electric,PLA-RP100BA,3,3.1,R410A,9.5 kW,230 V,13.0 A,3 Star,Non-Inverter
Mitsubishi Electric,PLA-RP125BA,3.5,3.8,R410A,12.5 kW,230 V,16.5 A,3 Star,Non-Inverter
Mitsubishi Electric,SEZ-KD50VA,1.8,1.7,R410A,5.0 kW,230 V,7.5 A,3 Star,Non-Inverter
Mitsubishi Electric,SEZ-KD60VA,2,2,R410A,6.0 kW,230 V,8.8 A,3 Star,Non-Inverter
Mitsubishi Electric,SEZ-KD71VA,2.2,2.2,R410A,7.1 kW,230 V,9.5 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-FH25VE,1,0.95,R410A,3.2 kW,230 V,4.5 A,4 Star,Inverter
Mitsubishi Electric,MSZ-FH35VE,1.5,1.3,R410A,4.0 kW,230 V,5.8 A,4 Star,Inverter
Mitsubishi Electric,MSZ-FH50VE,2,1.85,R410A,5.0 kW,230 V,8.0 A,4 Star,Inverter
Mitsubishi Electric,MSZ-SF25VE,1,0.9,R410A,2.5 kW,230 V,4.2 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-SF35VE,1.5,1.25,R410A,3.5 kW,230 V,5.5 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-SF50VE,2,1.8,R410A,5.0 kW,230 V,7.8 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-HR25VF,1,0.95,R32,3.2 kW,230 V,4.5 A,4 Star,Inverter
Mitsubishi Electric,MSZ-HR35VF,1.5,1.35,R32,4.0 kW,230 V,6.0 A,4 Star,Inverter
Mitsubishi Electric,MSZ-HR50VF,2,1.9,R32,5.0 kW,230 V,8.3 A,4 Star,Inverter
Mitsubishi Electric,MSZ-WN25VA,1,1.05,R410A,3.0 kW,230 V,4.8 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-WN35VA,1.5,1.4,R410A,4.0 kW,230 V,6.3 A,3 Star,Non-Inverter
Mitsubishi Electric,MSZ-WN50VA,2,1.95,R410A,5.0 kW,230 V,8.5 A,3 Star,Non-Inverter
Mitsubishi Heavy,SRK20ZMP-S,1.6,1.4,R32,5.2 kW,230 V,6.3 A,4 Star,Inverter
Mitsubishi Heavy,SRK25ZMP-S,2,1.85,R32,6.8 kW,230 V,8.2 A,4 Star,Inverter
Mitsubishi Heavy,SRK35ZMP-S,1.5,1.35,R32,5.0 kW,230 V,6.0 A,4 Star,Inverter
Mitsubishi Heavy,SRK50ZMP-S,2,2,R32,6.0 kW,230 V,8.7 A,4 Star,Inverter
Mitsubishi Heavy,SRK60ZMP-S,2.2,2.25,R32,7.1 kW,230 V,9.5 A,4 Star,Inverter
Mitsubishi Heavy,SRK71ZMP-S,2.5,2.55,R32,7.8 kW,230 V,10.8 A,4 Star,Inverter
Mitsubishi Heavy,SRK80ZMP-S,2.8,2.9,R32,8.5 kW,230 V,12.0 A,4 Star,Inverter
Mitsubishi Heavy,SRK100ZMP-S,3,3.2,R32,9.5 kW,230 V,13.5 A,4 Star,Inverter
Mitsubishi Electric,MSZ-RW25VG,1,0.92,R32,3.2 kW,230 V,4.3 A,5 Star,Inverter
Mitsubishi Electric,MSZ-RW35VG,1.5,1.3,R32,4.2 kW,230 V,5.8 A,5 Star,Inverter
Mitsubishi Electric,MSZ-RW50VG,2,1.85,R32,5.0 kW,230 V,8.1 A,5 Star,Inverter
Mitsubishi Electric,MSZ-BT25VG,1,0.95,R32,3.0 kW,230 V,4.5 A,4 Star,Inverter
Mitsubishi Electric,MSZ-BT35VG,1.5,1.35,R32,4.0 kW,230 V,6.0 A,4 Star,Inverter
Mitsubishi Electric,MSZ-BT50VG,2,1.9,R32,5.2 kW,230 V,8.4 A,4 Star,Inverter
Mitsubishi Electric,MSZ-AY25VG,1,0.9,R32,3.2 kW,230 V,4.2 A,5 Star,Inverter
Mitsubishi Electric,MSZ-AY35VG,1.5,1.28,R32,4.0 kW,230 V,5.7 A,5 Star,Inverter
Mitsubishi Electric,MSZ-AY50VG,2,1.82,R32,5.0 kW,230 V,8.0 A,5 Star,Inverter
Mitsubishi Electric,MSZ-LN50VG,2,2,R32,6.0 kW,230 V,8.8 A,5 Star,Inverter
Mitsubishi Heavy,SRK25ZMX-S,2,1.85,R32,6.8 kW,230 V,8.3 A,4 Star,Inverter
Mitsubishi Heavy,SRK35ZMX-S,1.5,1.4,R32,5.0 kW,230 V,6.3 A,4 Star,Inverter
Mitsubishi Heavy,SRK50ZMX-S,2,2.05,R32,6.0 kW,230 V,9.0 A,4 Star,Inverter
Mitsubishi Heavy,SRK60ZMX-S,2.2,2.25,R32,7.1 kW,230 V,9.8 A,4 Star,Inverter
Mitsubishi Heavy,SRK71ZMX-S,2.5,2.6,R32,7.8 kW,230 V,11.0 A,4 Star,Inverter
Mitsubishi Heavy,SRK80ZMX-S,2.8,2.95,R32,8.5 kW,230 V,12.2 A,4 Star,Inverter
Mitsubishi Heavy,SRK100ZMX-S,3,3.3,R32,9.5 kW,230 V,13.8 A,4 Star,Inverter
Mitsubishi Heavy,SRK125ZMX-S,3.5,3.9,R32,11.5 kW,230 V,16.5 A,4 Star,Inverter
Mitsubishi Heavy,SRK140ZMX-S,4,4.5,R32,13.0 kW,230 V,18.5 A,4 Star,Inverter
Mitsubishi Electric,PEA-RP100GA,3,3.2,R410A,10.0 kW,230 V,13.5 A,3 Star,Non-Inverter
