dg (kVA),fuel type,engine model,fuel consumption (L/hr @100%),cpcb current standards
95,Diesel,AL6D,23.5,CPCB IV+
105,Diesel,AL6D,25.5,CPCB IV+
115,Diesel,AL6DT,27.5,CPCB IV+
135,Diesel,AL6DT,32.5,CPCB IV+
155,Diesel,AL6DT,37.5,CPCB IV+
165,Diesel,AL6DTI,39.5,CPCB IV+
185,Diesel,AL6DTI,44,CPCB IV+
210,Diesel,AL6DTI,50,CPCB IV+
260,Diesel,ALCRDe,65,CPCB IV+
310,Diesel,ALCRDe,75,CPCB IV+
330,Diesel,ALCRDe,80,CPCB IV+
360,Diesel,ALCRDe,88,CPCB IV+
410,Diesel,ALCRDe,102,CPCB IV+
460,Diesel,ALCRDe,115,CPCB IV+
520,Diesel,ALCRDe,130,CPCB IV+
580,Diesel,ALV12,145,CPCB IV+
650,Diesel,ALV12,160,CPCB IV+
720,Diesel,ALV12,175,CPCB IV+
780,Diesel,ALV12,190,CPCB IV+
880,Diesel,ALV12,210,CPCB IV+
980,Diesel,ALV16,230,CPCB IV+
1080,Diesel,ALV16,255,CPCB IV+
1180,Diesel,ALV16,285,CPCB IV+
1480,Diesel,ALV16,345,CPCB IV+
1580,Diesel,ALV20,365,CPCB IV+
1680,Diesel,ALV20,390,CPCB IV+
1780,Diesel,ALV20,405,CPCB IV+
1880,Diesel,ALV20,420,CPCB IV+
1980,Diesel,ALV20,435,CPCB IV+
2080,Diesel,ALV20,460,CPCB IV+
2350,Diesel,ALV20,485,CPCB IV+
2480,Diesel,ALV20,498,CPCB IV+
25,CNG,AL25G,7 (m³/hr),CPCB IV+
45,Natural Gas,AL45G,12 (m³/hr),CPCB IV+
70,Natural Gas,AL70G,18 (m³/hr),CPCB IV+
110,Natural Gas,AL110G,28 (m³/hr),CPCB IV+
140,Natural Gas,AL140G,36 (m³/hr),CPCB IV+
