dg (kVA),fuel type,engine model,fuel consumption (L/hr @100%),cpcb current standards
155,Diesel,JCB448TCA,37.5,CPCB IV+
165,Diesel,JCB448TCA,39.5,CPCB IV+
185,Diesel,JCB448TCA,44,CPCB IV+
210,Diesel,JCB448TCA,50,CPCB IV+
260,Diesel,JCBCRDe,65,CPCB IV+
310,Diesel,JCBCRDe,75,CPCB IV+
330,Diesel,JCBCRDe,80,CPCB IV+
360,Diesel,JCBCRDe,88,CPCB IV+
410,Diesel,JCBCRDe,102,CPCB IV+
460,Diesel,JCBCRDe,115,CPCB IV+
520,Diesel,JCBCRDe,130,CPCB IV+
580,Diesel,JCBV12,145,CPCB IV+
650,Diesel,JCBV12,160,CPCB IV+
720,Diesel,JCBV12,175,CPCB IV+
780,Diesel,JCBV12,190,CPCB IV+
880,Diesel,JCBV12,210,CPCB IV+
980,Diesel,JCBV16,230,CPCB IV+
1080,Diesel,JCBV16,255,CPCB IV+
1180,Diesel,JCBV16,285,CPCB IV+
1480,Diesel,JCBV16,345,CPCB IV+
1580,Diesel,JCBV20,365,CPCB IV+
1680,Diesel,JCBV20,390,CPCB IV+
1780,Diesel,JCBV20,405,CPCB IV+
1880,Diesel,JCBV20,420,CPCB IV+
1980,Diesel,JCBV20,435,CPCB IV+
2080,Diesel,JCBV20,460,CPCB IV+
2350,Diesel,JCBV20,485,CPCB IV+
2480,Diesel,JCBV20,498,CPCB IV+
30,CNG,JCBG3.3T,8 (m³/hr),CPCB IV+
45,Natural Gas,JCBG5.9,13 (m³/hr),CPCB IV+
70,Natural Gas,JCBG5.9,18 (m³/hr),CPCB IV+
110,Natural Gas,JCBG7T,30 (m³/hr),CPCB IV+
140,Natural Gas,JCBG9,36 (m³/hr),CPCB IV+
