Brand,Model,capacity_Ton,power_consumption_kW,Refrigerant type,cooling capacity,voltage,current,star rating,inverter/noninverter
LG,LWA3GW3A,1,~1.15,R410A,~3.5 kW,230 V,~5.2 A,3 Star,Non-Inverter
LG,US-Q30YNZA,2.5,~2.30,R32,~7.5 kW,230 V,~10.0 A,5 Star,Inverter
LG,US-Q36YNZA,3,~2.90,R32,~9.0 kW,230 V,~12.5 A,5 Star,Inverter
LG,KS-Q30YNZA,2.5,~2.25,R32,~7.5 kW,230 V,~9.8 A,4 Star,Inverter
LG,KS-Q36YNZA,3,~2.85,R32,~9.0 kW,230 V,~12.2 A,4 Star,Inverter
LG,US-U30YNZA,2.5,~2.35,R32,~7.5 kW,230 V,~10.2 A,5 Star,Inverter
LG,US-U36YNZA,3,~3.00,R32,~9.0 kW,230 V,~13.0 A,5 Star,Inverter
LG,LWA5CT3A,1.5,~1.70,R410A,~5.0 kW,230 V,~7.3 A,3 Star,Non-Inverter
LG,LWA4CT3A,1.2,~1.30,R410A,~4.0 kW,230 V,~6.0 A,3 Star,Non-Inverter
LG,US-Q12HNZA,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,5 Star,Inverter
LG,US-Q18HNZA,1.5,~1.28,R32,~5.0 kW,230 V,~5.7 A,5 Star,Inverter
LG,US-Q24HNZA,2,~1.82,R32,~6.2 kW,230 V,~7.9 A,5 Star,Inverter
LG,KS-Q12HNZA,1,~0.92,R32,~3.5 kW,230 V,~4.3 A,4 Star,Inverter
LG,KS-Q18HNZA,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,4 Star,Inverter
LG,KS-Q24HNZA,2,~1.85,R32,~6.2 kW,230 V,~8.0 A,4 Star,Inverter
LG,US-U12HNZA,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,5 Star,Inverter
LG,US-U18HNZA,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,5 Star,Inverter
LG,US-U24HNZA,2,~1.90,R32,~6.2 kW,230 V,~8.2 A,5 Star,Inverter
LG,KS-U12HNZA,1,~0.95,R32,~3.5 kW,230 V,~4.5 A,4 Star,Inverter
LG,KS-U18HNZA,1.5,~1.35,R32,~5.0 kW,230 V,~6.0 A,4 Star,Inverter
LG,KS-U24HNZA,2,~1.90,R32,~6.2 kW,230 V,~8.2 A,4 Star,Inverter
LG,US-Q12JNXA,1,~0.88,R32,~3.5 kW,230 V,~4.1 A,5 Star,Inverter
LG,US-Q18JNXA,1.5,~1.25,R32,~5.0 kW,230 V,~5.5 A,5 Star,Inverter
LG,US-Q24JNXA,2,~1.80,R32,~6.2 kW,230 V,~7.8 A,5 Star,Inverter
LG,US-U12JNXA,1,~0.92,R32,~3.5 kW,230 V,~4.3 A,5 Star,Inverter
LG,US-U18JNXA,1.5,~1.30,R32,~5.0 kW,230 V,~5.8 A,5 Star,Inverter
LG,US-U24JNXA,2,~1.85,R32,~6.2 kW,230 V,~8.0 A,5 Star,Inverter
LG,KS-Q12JNXA,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,4 Star,Inverter
LG,KS-Q18JNXA,1.5,~1.28,R32,~5.0 kW,230 V,~5.7 A,4 Star,Inverter
LG,KS-Q24JNXA,2,~1.82,R32,~6.2 kW,230 V,~7.9 A,4 Star,Inverter
LG,LWA5CP5A,1.5,~1.65,R410A,~5.0 kW,230 V,~7.2 A,3 Star,Non-Inverter
LG,LWA3CP5A,1,~1.15,R410A,~3.5 kW,230 V,~5.2 A,3 Star,Non-Inverter
LG,LWA4CP5A,1.2,~1.30,R410A,~4.0 kW,230 V,~6.0 A,3 Star,Non-Inverter
LG,LWA5GW5A,1.5,~1.70,R410A,~5.0 kW,230 V,~7.3 A,3 Star,Non-Inverter
LG,LWA3GW5A,1,~1.20,R410A,~3.5 kW,230 V,~5.4 A,3 Star,Non-Inverter
LG,LWA4GW5A,1.2,~1.35,R410A,~4.0 kW,230 V,~6.2 A,3 Star,Non-Inverter
LG,ZTNQ24GPLA0,2,~2.10,R32,~6.5 kW,230 V,~9.0 A,3 Star,Inverter
LG,ZTNQ36GPLA0,3,~3.20,R32,~9.0 kW,230 V,~13.5 A,3 Star,Inverter
LG,ZTNQ48GPLA0,4,~4.50,R32,~12.5 kW,230 V,~18.5 A,3 Star,Inverter
LG,ZUAD24A,2,~2.20,R410A,~6.5 kW,230 V,~9.5 A,3 Star,Non-Inverter
LG,ZUAD36A,3,~3.30,R410A,~9.0 kW,230 V,~14.0 A,3 Star,Non-Inverter
LG,LS-Q12CNZA,1,~1.05,R410A,~3.5 kW,230 V,~4.8 A,3 Star,Non-Inverter
LG,LS-Q18CNZA,1.5,~1.55,R410A,~5.0 kW,230 V,~6.8 A,3 Star,Non-Inverter
LG,LS-Q24CNZA,2,~2.10,R410A,~6.2 kW,230 V,~9.0 A,3 Star,Non-Inverter
LG,LS-U12CNZA,1,~1.10,R410A,~3.5 kW,230 V,~5.0 A,3 Star,Non-Inverter
LG,LS-U18CNZA,1.5,~1.60,R410A,~5.0 kW,230 V,~7.0 A,3 Star,Non-Inverter
LG,LS-U24CNZA,2,~2.15,R410A,~6.2 kW,230 V,~9.2 A,3 Star,Non-Inverter
LG,US-Q12KXZA,1,~0.87,R32,~3.5 kW,230 V,~4.0 A,5 Star,Inverter
LG,US-Q18KXZA,1.5,~1.24,R32,~5.0 kW,230 V,~5.4 A,5 Star,Inverter
LG,US-Q24KXZA,2,~1.78,R32,~6.2 kW,230 V,~7.7 A,5 Star,Inverter
LG,US-U12KXZA,1,~0.90,R32,~3.5 kW,230 V,~4.2 A,5 Star,Inverter
LG,US-U18KXZA,1.5,~1.28,R32,~5.0 kW,230 V,~5.7 A,5 Star,Inverter
LG,US-U24KXZA,2,~1.82,R32,~6.2 kW,230 V,~7.9 A,5 Star,Inverter
LG,KS-Q12KXZA,1,~0.89,R32,~3.5 kW,230 V,~4.1 A,4 Star,Inverter
LG,KS-Q18KXZA,1.5,~1.27,R32,~5.0 kW,230 V,~5.6 A,4 Star,Inverter
LG,KS-Q24KXZA,2,~1.80,R32,~6.2 kW,230 V,~7.8 A,4 Star,Inverter
LG,US-Q42YNZA,3.5,~3.50,R32,~10.5 kW,230 V,~15.0 A,5 Star,Inverter
LG,US-Q48YNZA,4,~4.20,R32,~12.0 kW,230 V,~18.0 A,5 Star,Inverter
LG,KS-Q42YNZA,3.5,~3.40,R32,~10.5 kW,230 V,~14.5 A,4 Star,Inverter
LG,KS-Q48YNZA,4,~4.10,R32,~12.0 kW,230 V,~17.5 A,4 Star,Inverter
LG,US-U42YNZA,3.5,~3.60,R32,~10.5 kW,230 V,~15.5 A,5 Star,Inverter
LG,US-U48YNZA,4,~4.30,R32,~12.0 kW,230 V,~18.5 A,5 Star,Inverter
LG,ARNU24GTYA0,2,~2.20,R32,~6.5 kW,230 V,~9.5 A,3 Star,Inverter
LG,ARNU36GTYA0,3,~3.30,R32,~9.0 kW,230 V,~14.0 A,3 Star,Inverter
LG,ARNU48GTYA0,4,~4.60,R32,~12.5 kW,230 V,~18.8 A,3 Star,Inverter
LG,ARNU60GTYA0,5,~5.80,R32,~15.0 kW,230 V,~23.0 A,3 Star,Inverter
LG,AUUW24GTYA0,2,~2.30,R410A,~6.5 kW,230 V,~9.8 A,3 Star,Non-Inverter
LG,AUUW36GTYA0,3,~3.40,R410A,~9.0 kW,230 V,~14.5 A,3 Star,Non-Inverter
